month_of_year,name,address,transfer_metric
1,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1196561
1,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1274099
1,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1290876
1,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1383121
1,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,139665
2,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1247982
2,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1593869
2,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,1591563
2,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,1314513
3,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,989111
3,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1129114
3,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1149014
3,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,985997
3,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,739014
4,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1198319
4,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,811130
4,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,990239
4,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,994084
